,Url,BPM,BPM_Per_Year,MP,MPG,Pk,Player,Tm,VORP,VORP_Per_Year,WS,WS/48,WS_Per_Year,Year,Yrs
821,http://www.basketball-reference.com/players/p/portech01.html,-4.6,-4.6,1147.0,22.5,55,Chris Porter,GSW,-0.8,0.2,0.2,0.008,0.2,2000,1.0
822,http://www.basketball-reference.com/players/p/porteot01.html,1.7,0.425,6632.0,24.9,3,Otto Porter,WAS,6.2,4.425,17.7,0.128,4.425,2013,4.0
823,http://www.basketball-reference.com/players/p/portibo01.html,-3.2,-1.6,2102.0,16.7,22,Bobby Portis,CHI,-0.6,1.95,3.9,0.089,1.95,2015,2.0
824,http://www.basketball-reference.com/players/p/porzikr01.html,0.2,0.1,4211.0,30.5,4,Kristaps Porzingis,NYK,2.3,4.45,8.9,0.101,4.45,2015,2.0
825,http://www.basketball-reference.com/players/p/poseyja01.html,1.2,0.1,23260.0,26.9,18,James Posey,DEN,18.8,4.3,51.6,0.107,4.3,1999,12.0
826,http://www.basketball-reference.com/players/p/postela01.html,-8.6,-2.86666666667,446.0,7.3,39,Lavor Postell,NYK,-0.7,-0.0666666666667,-0.2,-0.025,-0.0666666666667,2000,3.0
827,http://www.basketball-reference.com/players/p/potapvi01.html,-3.5,-0.318181818182,11608.0,19.0,12,Vitaly Potapenko,CLE,-4.4,1.40909090909,15.5,0.064,1.40909090909,1996,11.0
828,http://www.basketball-reference.com/players/p/poweldw01.html,0.5,0.166666666667,2561.0,14.6,45,Dwight Powell,BOS,1.6,2.76666666667,8.3,0.156,2.76666666667,2014,3.0
829,http://www.basketball-reference.com/players/p/powele01.html,-2.3,-0.46,3320.0,13.9,49,Leon Powe,BOS,-0.2,2.4,12.0,0.174,2.4,2006,5.0
830,http://www.basketball-reference.com/players/p/powelno01.html,-1.1,-0.55,2093.0,16.7,46,Norman Powell,TOR,0.5,2.2,4.4,0.1,2.2,2015,2.0
831,http://www.basketball-reference.com/players/p/preldem01.html,0.0,0.0,0.0,0.0,57,Emir Preldzic,PHO,0.0,0.0,0.0,0.0,0.0,2009,0.0
832,http://www.basketball-reference.com/players/p/prestpa01.html,0.0,0.0,0.0,0.0,45,Paulao Prestes,MIN,0.0,0.0,0.0,0.0,0.0,2010,0.0
833,http://www.basketball-reference.com/players/p/priceaj01.html,-2.4,-0.4,3929.0,15.1,52,A.J. Price,IND,-0.4,0.783333333333,4.7,0.058,0.783333333333,2009,6.0
834,http://www.basketball-reference.com/players/p/princta01.html,0.1,0.00714285714286,31576.0,31.0,23,Tayshaun Prince,DET,16.6,4.50714285714,63.1,0.096,4.50714285714,2002,14.0
835,http://www.basketball-reference.com/players/p/princta02.html,-2.3,-2.3,981.0,16.6,12,Taurean Prince,ATL,-0.1,1.1,1.1,0.054,1.1,2016,1.0
836,http://www.basketball-reference.com/players/p/printgi01.html,0.0,0.0,0.0,0.0,58,Giorgos Printezis,SAS,0.0,0.0,0.0,0.0,0.0,2007,0.0
837,http://www.basketball-reference.com/players/p/profila01.html,-3.4,-0.85,1537.0,11.4,38,Laron Profit,WAS,-0.5,0.175,0.7,0.021,0.175,1999,4.0
838,http://www.basketball-reference.com/players/p/pruitga01.html,-3.1,-1.55,461.0,7.4,32,Gabe Pruitt,BOS,-0.1,0.2,0.4,0.043,0.2,2007,2.0
839,http://www.basketball-reference.com/players/p/przybjo01.html,-0.9,-0.0692307692308,11733.0,19.8,9,Joel Przybilla,MIL,3.3,1.76923076923,23.0,0.094,1.76923076923,2000,13.0
840,http://www.basketball-reference.com/players/q/qizh01.html,0.0,0.0,0.0,0.0,43,Zhou Qi,HOU,0.0,0.0,0.0,0.0,0.0,2016,0.0
